Animal , Label
caballo (1).jpg , 0
caballo (2).jpg , 0
caballo (3).jpg , 0
caballo (4).jpg , 0
caballo (5).jpg , 0
caballo (6).jpg , 0
caballo (7).jpg , 0
caballo (8).jpg , 0
caballo (9).jpg , 0
caballo (10).jpg , 0
elefante (1).jpg , 1
elefante (2).jpg , 1
elefante (3).jpg , 1
elefante (4).jpg , 1
elefante (5).jpg , 1
elefante (6).jpg , 1
elefante (7).jpg , 1
elefante (8).jpg , 1
elefante (9).jpg , 1
elefante (10).jpg , 1
gallina (1).jpg , 2
gallina (2).jpg , 2
gallina (3).jpg , 2
gallina (4).jpg , 2
gallina (5).jpg , 2
gallina (6).jpg , 2
gallina (7).jpg , 2
gallina (8).jpg , 2
gallina (9).jpg , 2
gallina (10).jpg , 2
gato (1).jpg , 3
gato (2).jpg , 3
gato (3).jpg , 3
gato (4).jpg , 3
gato (5).jpg , 3
gato (6).jpg , 3
gato (7).jpg , 3
gato (8).jpg , 3
gato (9).jpg , 3
gato (10).jpg , 3
vaca (1).jpg , 4
vaca (2).jpg , 4
vaca (3).jpg , 4
vaca (4).jpg , 4
vaca (5).jpg , 4
vaca (6).jpg , 4
vaca (7).jpg , 4
vaca (8).jpg , 4
vaca (9).jpg , 4
vaca (10).jpg , 4
