,Valoracion,Texto
0,1,"- El artículo aborda un problema contingente y muy relevante, e incluye tanto un diagnóstico nacional de uso de buenas prácticas como una solución (buenas prácticas concretas). - El lenguaje es adecuado.  - El artículo se siente como la concatenación de tres artículos diferentes: (1) resultados de una encuesta, (2) buenas prácticas de seguridad, (3) incorporación de buenas prácticas. - El orden de las secciones sería mejor si refleja este orden (la versión revisada es #2, #1, #3). - El artículo no tiene validación de ningún tipo, ni siquiera por evaluación de expertos."
1,1,"El artículo presenta recomendaciones prácticas para el desarrollo de software seguro. Se describen las mejores prácticas recomendadas para desarrollar software que sea proactivo ante los ataques, y se realiza un análisis de costos de estas prácticas en desarrollo de software. Todo basado en una revisión de prácticas propuestas en la bibliografía y su contraste con datos obtenidos de una encuesta en empresas. Finalmente se recomienda una guía.  Sería ideal aplicar la guía propuesta a empresas no involucradas en la encuesta que sirvió para originarla de modo de poder evaluar su efectividad en forma independiente."
2,1,"- El tema es muy interesante y puede ser de mucha ayuda una guía para incorporar prácticas de seguridad. - La presentación (descripción, etapa y uso) de las 9 prácticas para el desarrollo de software seguro.  - El “estado real del desarrollo de software en Chile” (como lo indica en su paper) no se puede lograr con solamente 22 encuestas de un total de 50. - Presenta nueve tablas que corresponden a las prácticas para el desarrollo de software seguro, pero la guía presenta 10 prácticas. ¿explica por qué? - Sugiero mejorar la guía, el mayor aporte está en la secuencia de incorporación que propone.  Además, no debería explicar la práctica en Observaciones ni diferenciarla con otras prácticas en esa columna, sino que debería dar sugerencias de cómo aplicarla. - En el texto indica “Más adelante, se presentan además tres prácticas extras…” ¿cuáles son o no leí correctamente? - De acuerdo a formato, poner como mínimo 5 palabras clave. - Sugiero mencionar las prácticas antes de mostrar cada tabla. - Algunas referencias están incompletas, por ejemplo, falta año en referencia 17, falta año y tipo de evento en referencia 11, falta editorial en referencia 19 (¿es un libro?) - Algunos títulos llevan una coma dentro de las comillas, ejemplo, referencia 1"
3,2,"Se explica en forma ordenada y didáctica una experiencia de uso de TIC para la colaboración académica.  La originalidad del trabajo no es su dimensión fuerte, ver trabajos de larga data como Gorton et al. (1997) y actuales como Lanunile et al. (2010). Sin embargo, la relevancia del tema como patrón de referencia en actividades relacionadas a tesis científicas, asociada a su buena presentación,  hacen de él un aporte.  Se sugiere, en miras a una publicación en revista, que se compare la eficiencia y efectividad de las actividades sin el apoyo de estas herramientas versus la actual realidad (con herramientas). Ejemplos de preguntas posibles a responder de este análisis exploratorio: ¿Cuáles son las principales actividades donde el uso de herramientas colaborativas es clave? ¿Qué cambios en el diseño de estas herramientas se deberían desarrollar en el futuro? ¿Existen perfiles de estudiantes/académicos más propicios para la adopción de estas plataformas?  Referencias:  Gorton, I., Hawryszkiewycz, I., and Ragoonaden, K. 1997. Collaborative tools and processes to support software engineering shift work. BT Technology Journal 15, 3 (Jul. 1997), 189-198. Filippo Lanubile, Christof Ebert, Rafael Prikladnicki, Aurora Vizcaíno, ""Collaboration Tools for Global Software Engineering,"" IEEE Software, vol. 27, no. 2, pp. 52-55, Mar./Apr. 2010."
4,2,
5,2,"Los autores describen una metodología para desarrollar, en forma colaborativa, tesis y memorias usando tecnologías que se usan habitualmente en desarrollo de software. Asimismo, describen herramientas concretas y sus bondades como, por ejemplo, Latex y Git. Finalmente, proponen un flujo de trabajo para el desarrollo de proyectos de esta naturaleza.  El valor principal del artículo radica en la aplicación de conocimientos que los estudiantes  ya dominan -es decir, técnicas y herramientas de desarrollo de software- a una problemática diferente como es el caso de las tesis y memorias. Todo ello, con el afán de hacer más eficiente el proceso.  1.- El énfasis del artículo está la solución sin hacer un análisis detallado del problema que se pretende resolver. En otras palabras, no hay respuestas a las siguientes preguntas:  a.- ¿cuál es exactamente el problema? b.- ¿qué impactos genera este problema? c.- ¿por qué es importante resolver el problema? d.- ¿qué soluciones se han implementado hasta la fecha? e.- ¿qué ventajas tiene la solución propuesta respecto de las anteriores?   2.- En mi opinión, el artículo debiera enfatizar más la metodología y el flujo de trabajo. Por ejemplo, añadir un diagrama -utilizando un lenguaje visual- que permita, por un lado, comprender el proceso general de desarrollo de tesis y, por otro, distinguir los roles, las actividades y las tecnologías asociadas en cada fase de la memoria.  3.- Se deben cuidar algunos aspectos del lenguaje y el rigor de ciertas afirmaciones como, por ejemplo: ""(dada la más bien atroz ortografía de que gozan los ingenieros)"". ¿Los autores disponen de algún respaldo empírico para respaldar esta afirmación? ¿Es necesario recurrir a un lenguaje tan prosaico para justificar la conveniencia de usar una determinada herramienta tecnológica? A propósito, recomiendo revisar las expresiones: ""no es publico"" (punto 3.1) y ""El tener acceso directamente..."" (punto 3.2)"
6,2,"Este trabajo propone un nuevo enfoque basado en [25] para apoyar la recomendación de los RS mediante la evolución de los pesos de las características de los usuarios a través de dos enfoques de utilización de algoritmos genéticos. El trabajo parece técnicamente correcto y la propuesta presenta resultados robustos de acuerdo a lo presentado en el documento.  El documento posee una serie de errores al parecer tipográficos que inducen a confusión, donde se cambian los nombres de variables, abreviaciones o formato de presentación de variables  subíndices, etc. Por ejemplo: ecuación 2, función w, abreviación CF, figura 3, figura 6. El enfoque aparentemente utiliza solo una parte de la BD por motivos de eficiencia, sería bueno utilizar alguna técnica de indexado para apoyar este proceso."
7,2,"This paper aims to show new deployment alternative for recommender systems. To this end, the authors use two variations CHC genetic algorithm.  - It's a good job. - It is clear and very detailed.  - There are inconsistencies in the notation should be improved. The formula (7) has a notation different from the rest of the equations. - On the same point, the figure (3) refers to ""perfil"", ""pesos"", ""euclidiana"" and ""vecindad""; these words aren't related with the text. - I think that the results shown in graphs would be more useful if they are shown in tables."
8,0,"The paper is well structured. It follows a logical sequence of sections.  The paper does not fix to the Infonor conference template.  The english grammar is poor. It makes the paper difficult to read and follow. Either:  a) rewrite the paper in spanish, or b) make the paper reviewed by a professional traslator  Most of the references are not recent (2005-2010). No new work since 2003? Some references do not indicate year.  Problems with equations, fonts, etc.  Figures 5-17 are not referenced/discussed/explained. It may be better to present these figures as a table.  Both, result analysis and conclusions, declare that GA CHC is better than Pearson´s correlation Algorithm. However, this analysis and conclusion is not supported for a wide variety of situations and conditions. Therefore, a true validation work is missing."
9,2,Se realiza un trabajo de modelamiento de encriptación cuántica novedosa  No veo aspectos negativos
